id;name;type;subtype;is_active;location_country;ville;nb_evenements;nb_membres;certifie;creation;code_insee
https://actionpopulaire.fr/groupes/10017684-94f0-4ef5-8f69-03e9df08d1e9/accueil/;Les Insoumis·es Du Villefranchois;Local;1;TRUE;FR;12200 Villefranche De Rouergue;7;39;TRUE;Créé il y a 3 ans;12
https://actionpopulaire.fr/groupes/100a1815-e79e-43b2-8531-e75868de09bf/accueil/;Faubourg Brachet Insoumis;Local;1;FALSE;FR;69008 Lyon;8;9;TRUE;Créé l’année dernière;69
https://actionpopulaire.fr/groupes/10173f24-09cc-4a4e-8fde-d73d29a8600c/accueil/;Rive Gauche 44 L'insoumise;Local;1;TRUE;FR;44640 Saint Jean De Boiseau;3;23;TRUE;Créé il y a 3 ans;44
https://actionpopulaire.fr/groupes/107c8086-346c-4c9e-b7ff-70e3da48ac12/accueil/;Groupe D'actions Isère Pointe Nord Ouest;Local;1;FALSE;FR;38460 Saint Romain de Jalionas;3;22;TRUE;Créé il y a 3 ans;38
https://actionpopulaire.fr/groupes/10cb680a-aaa8-4c26-8b64-d66389400338/accueil/;Canal Insoumise;Local;1;TRUE;FR;"""11590 Salleles dAude""";10;1;TRUE;Créé il y a 3 ans;11
https://actionpopulaire.fr/groupes/10d0be86-72ad-451c-afd5-cb9242c4428e/accueil/;Groupe D'action Du Pays Rochois;Local;1;TRUE;FR;74800 La Roche-sur-Foron;1;1;FALSE;Créé le mois dernier;74
https://actionpopulaire.fr/groupes/10d3425a-4059-424d-9331-29cfee926b6f/accueil/;Lycée Bon Secours Avec Jlm;Professionnel;53;FALSE;FR;66000 Perpignan;NA;2;FALSE;Créé il y a 3 ans;66
https://actionpopulaire.fr/groupes/10fbaf42-5b9e-4f19-aea4-401f5fd13863/accueil/;Comité D'appui De Saint-Étienne;Fonctionnel;58;TRUE;FR;42100 Saint-Étienne;65;46;TRUE;Créé il y a 2 ans;42
https://actionpopulaire.fr/groupes/1125cd42-6f97-40df-b2b0-2a97fa346109/accueil/;Équipe De Soutien Des Malassis;Soutien Nous Sommes Pour;66;TRUE;FR;94400 Vitry sur Seine;NA;1;FALSE;Créé il y a 3 mois;94
https://actionpopulaire.fr/groupes/1133ba5d-dde6-44fd-8b59-30efd08a387c/accueil/;Paris 20e Insoumis;Local;1;TRUE;FR;75020 Paris;83;92;FALSE;Créé il y a 3 ans;75
https://actionpopulaire.fr/groupes/1151658d-b2af-45ee-a9f4-1d5759880107/accueil/;Les Insoumis·es De Grande-Synthe;Local;1;FALSE;FR;59760 Grande-Synthe;3;11;TRUE;Créé il y a 3 ans;59
https://actionpopulaire.fr/groupes/115e4dcf-5188-4c05-b81b-ccef070ecf72/accueil/;France Insoumise Le Cannet / Mouans Sartoux;Local;1;TRUE;FR;06370 Mouans Sartoux;14;56;TRUE;Créé il y a 3 ans;06
https://actionpopulaire.fr/groupes/11658762-c043-42c9-aff7-f7d70b5cf329/accueil/;"Groupe Thématique Municipal ""Démocratie Et Quartiers""";Thématique;9;FALSE;FR;31100 TOULOUSE;2;3;FALSE;Créé il y a 2 ans;31
https://actionpopulaire.fr/groupes/1184f769-3f8a-4755-910a-622dcf3bb82f/accueil/;Les Insoumis Du Pacifique;Local;1;FALSE;NC;98800 Noumea;NA;17;TRUE;Créé il y a 3 ans;99
https://actionpopulaire.fr/groupes/119a6e9f-5487-45f3-9a38-821b113c5cab/accueil/;République Villeurbanne;Local;1;TRUE;FR;69100 Villeurbanne;1;1;FALSE;Créé il y a 6 mois;69
https://actionpopulaire.fr/groupes/119e026a-8c38-4681-9a83-964c647d2e11/accueil/;Carpentras Insoumise;Local;1;FALSE;FR;84200 Carpentras;2;41;TRUE;Créé il y a 3 ans;84
https://actionpopulaire.fr/groupes/119e3e75-51b4-42ca-b7a9-09afb0964c5e/accueil/;Les Insoumis De Tramolé;Local;1;TRUE;FR;38300 Tramolé;7;11;TRUE;Créé il y a 3 ans;38
https://actionpopulaire.fr/groupes/11b3929b-4d78-4af3-9d68-f5547d7fabe8/accueil/;Groupe De Soutien Des Graoully Insoumis De Metz Pour La Candidature De Jl Melenchon À La Présidentielle De 2022;Local;1;TRUE;FR;57000 METZ;1;1;FALSE;Créé il y a 2 mois;57
https://actionpopulaire.fr/groupes/11d8ca22-eec7-4370-81c8-9224718fe290/accueil/;Groupe D’action Du Canton Giennois;Local;1;TRUE;FR;45500 Gien;3;4;TRUE;Créé il y a 2 ans;45
https://actionpopulaire.fr/groupes/11edd7ac-a697-48ac-953c-2c56e9a586fe/accueil/;Groupe D'action Palais Des Fêtes;Local;1;FALSE;FR;67000 Strasbourg;NA;8;TRUE;Créé il y a 9 mois;67
https://actionpopulaire.fr/groupes/1202d2bd-0bc8-476e-bc14-92518c97b1db/accueil/;Equipe De Soutien Du Couserans;Soutien Nous Sommes Pour;66;TRUE;FR;09200 st girons;NA;1;FALSE;Créé il y a 2 mois;09
https://actionpopulaire.fr/groupes/122e474d-9d35-4003-8460-836fcaf7d1e2/accueil/;Les Insoumis Aubenas 07;Local;1;TRUE;FR;07200 Aubenas;24;27;TRUE;Créé il y a 3 ans;07
https://actionpopulaire.fr/groupes/123253f2-eb56-4e32-9a35-710691d36422/accueil/;La Fête Insoumise !;Fonctionnel;48;FALSE;FR;76300 Sotteville-lès-Rouen;1;3;FALSE;Créé il y a 3 ans;76
